Date,Competition,GW,Venue,Opponent,Man Utd Score,Opponent Score,W/L,Rating,Scorers,PL Position,Shots MUFC,Shots Opponent,Possession,MOTM
7-Aug-2022,Premier League,1,Old Trafford,Brighton,1,2,L,4,OG,14,17,15,63,-
13-Aug-2022,Premier League,2,Gtech Community Stadium,Brentford,0,4,L,0,,20,15,13,67,-
22-Aug-2022,Premier League,3,Old Trafford,Liverpool,2,1,W,8,"Sancho, Rashford",14,12,17,30,Rashford
27-Aug-2022,Premier League,4,St Mary's,Southampton,1,0,W,5,Fernandes,8,11,17,52,Fernandes
1-Sep-2022,Premier League,5,King Power Stadium,Leicester,1,0,W,6,Sancho,5,9,10,46,Sancho
4-Sep-2022,Premier League,6,Old Trafford,Arsenal,3,1,W,7,"Antony, Rashford, Rashford",5,10,16,40,Eriksen
8-Sep-2022,Europa League Group E,1,Old Trafford,Real Sociedad,0,1,L,5,,5,15,7,55,-
16-Sep-2022,Europa League Group E,2,Zimbru Stadium,FC Sheriff,2,0,W,?,"Sancho, Ronaldo (P)",5,8,11,68,Sancho
2-Oct-2022,Premier League,7,Etihad Stadium,Man City,3,6,L,3,"Antony, Martial, Martial (P)",6,12,22,46,-
6-Oct-2022,Europa League Group E,3,GSP Stadium,Omonia Nicosia,3,2,W,6,"Rashford, Martial, Rashford",6,28,8,73,Rashford
9-Oct-2022,Premier League,8,Goodison Park,Everton,2,1,W,5,"Antony, Ronaldo",5,12,10,61,
13-Oct-2022,Europa League Group E,4,Old Trafford,Omonia Nicosia,1,0,W,6,McTominay,5,34,3,78,
16-Oct-2022,Premier League,9,Old Trafford,Newcastle,0,0,D,?,,5,15,9,63,Sancho
19-Oct-2022,Premier League,10,Old Trafford,Spurs,2,0,W,8,"Fred, Fernandes ",5,28,9,52,Fernandes
22-Oct-2022,Premier League,11,Stamford Bridge,Chelsea,1,1,D,7,Casemiro ,6,13,6,52,Casemiro
27-Oct-2022,Europa League Group E,5,Old Trafford,FC Sheriff,3,0,W,9,"Dalot, Rashford, Ronaldo",6,24,0,75,Eriksen 
30-Oct-2022,Premier League,12,Old Trafford,West Ham,1,0,W,?,Rashford ,5,16,13,53,Dalot
3-Nov-2022,Europa League Group E,6,Reale Arena,Real Sociedad,1,0,W,6,Garnacho,5,4,13,52,De Gea
6-Nov-2022,Premier League,13,Villa Park,Aston Villa,1,3,L,4,OG,5,8,6,58,-
10-Nov-2022,League Cup ,1,Old Trafford,Aston Villa,4,2,W,8,"Martial, Rashford, Fernandes, McTominay ",5,19,5,59,Rashford
13-Nov-2022,Premier League,14,Craven Cottage,Fulham,2,1,W,6,"Eriksen, Garnacho",5,14,14,47,-
21-Dec-2022,League Cup,2,Old Trafford,Burnley,2,0,W,7,"Eriksen, Rashford",5,10,11,55,Fernandes
26-Dec-2022,Premier League,15,Old Trafford,Nottingham Forest,3,0,W,8,"Rashford, Martial, Fred",5,17,8,66,Casemiro
31-Dec-2022,Premier League ,16,Molyneux,Wolves ,1,0,W,7,Rashford,4,16,10,54,Fernandes
3-Jan-2023,Premier League ,17,Old Trafford,Bournemouth ,3,0,W,9,"Casemiro, Shaw, Rashford",4,18,7,59,Shaw
6-Jan-2023,FA Cup ,4,Old Trafford,Everton,3,1,W,?,"Antony, OG, Rashford (P)",4,17,8,58,Dalot
10-Jan-2023,League Cup,4,Old Trafford,Charlton ,3,0,W,7,"Antony, Rashford, Rashford",4,21,5,70,Rashford
14-Jan-2023,Premier League ,18,Old Trafford,Man City,2,1,W,8,"Fernandes, Rashford",3,8,5,30,Fernandes
